Date,Country,Product,Revenue,Cost,Profit, Percent Target ,Pipeline
2017-01-01,Japan,aeox,89094,57911.1,31182.9,50,840749
2017-01-02,Japan,apiera,375132,243835.8,131296.2,94,560892
2017-01-03,Japan,rezota,430983,280138.95,150844.05,5,976659
2017-01-04,Japan,aeox,383152,249048.8,134103.2,14,935823
2017-01-05,Japan,adoriva,465159,302353.35,162805.65,79,283716
2017-01-06,Japan,vucoo,438399,284959.35,153439.65,30,968166
2017-01-07,Japan,rezota,266993,173545.45,93447.55,23,796432
2017-01-08,Japan,aeox,467715,304014.75,163700.25,63,429500
2017-01-09,Japan,adoriva,91160,59254,31906,30,841044
2017-01-10,Japan,neutratronic,60932,39605.8,21326.2,3,842332
2017-01-11,Japan,vucoo,44045,28629.25,15415.75,75,718809
2017-01-12,Japan,adoriva,211337,137369.05,73967.95,75,414650
2017-01-13,Japan,aeox,296965,193027.25,103937.75,36,334067
2017-01-14,Japan,aeox,55132,35835.8,19296.2,5,972458
2017-01-15,Japan,adoriva,188253,122364.45,65888.55,95,898760
2017-01-16,Japan,apiera,85682,55693.3,29988.7,0,400384
2017-01-17,Japan,rezota,339143,220442.95,118700.05,9,212565
2017-01-18,Japan,neutratronic,420564,273366.6,147197.4,48,983836
2017-01-19,Japan,rezota,243926,158551.9,85374.1,17,442012
2017-01-20,Japan,apiera,478456,310996.4,167459.6,80,907724
2017-01-21,Japan,aeox,223942,145562.3,78379.7,89,931472
2017-01-22,Japan,apiera,189574,123223.1,66350.9,64,463648
2017-01-23,Japan,adoriva,71893,46730.45,25162.55,23,792862
2017-01-24,Japan,apiera,312717,203266.05,109450.95,49,537161
2017-01-25,Japan,rezota,165864,107811.6,58052.4,92,297405
2017-01-26,Japan,apiera,101115,65724.75,35390.25,35,572757
2017-01-27,Japan,neutratronic,433622,281854.3,151767.7,60,182484
2017-01-28,Japan,adoriva,331186,215270.9,115915.1,76,303192
2017-01-29,Japan,adoriva,382422,248574.3,133847.7,94,740735
2017-01-30,Japan,rezota,231364,150386.6,80977.4,17,121125
2017-01-31,Japan,apiera,48331,31415.15,16915.85,34,860636
2017-02-01,Japan,neutratronic,425204,276382.6,148821.4,28,926571
2017-02-02,Japan,apiera,3772,2451.8,1320.2,89,666767
2017-02-03,Japan,rezota,11823,7684.95,4138.05,56,249863
2017-02-04,Japan,aeox,462866,300862.9,162003.1,98,172752
2017-02-05,Japan,vucoo,196806,127923.9,68882.1,0,343624
2017-02-06,Japan,vucoo,179926,116951.9,62974.1,9,210227
2017-02-07,Japan,aeox,434757,282592.05,152164.95,26,249983
2017-02-08,Japan,aeox,360463,234300.95,126162.05,29,437491
2017-02-09,Japan,adoriva,234417,152371.05,82045.95,72,852398
2017-02-10,Japan,aeox,363979,236586.35,127392.65,100,869033
2017-02-11,Japan,apiera,440801,286520.65,154280.35,45,679176
2017-02-12,Japan,apiera,71967,46778.55,25188.45,6,831573
2017-02-13,Japan,aeox,377151,245148.15,132002.85,26,908697
2017-02-14,Japan,adoriva,453608,294845.2,158762.8,66,913350
2017-02-15,Japan,neutratronic,335221,217893.65,117327.35,57,116173
2017-02-16,Japan,rezota,124572,80971.8,43600.2,36,582433
2017-02-17,Japan,aeox,393834,255992.1,137841.9,27,912597
2017-02-18,Japan,neutratronic,452546,294154.9,158391.1,92,313215
2017-02-19,Japan,vucoo,67481,43862.65,23618.35,61,659706
2017-02-20,Japan,adoriva,170742,110982.3,59759.7,76,945508
2017-02-21,Japan,adoriva,475192,308874.8,166317.2,29,228211
2017-02-22,Japan,adoriva,254094,165161.1,88932.9,23,185290
2017-02-23,Japan,apiera,347116,225625.4,121490.6,43,403051
2017-02-24,Japan,rezota,57633,37461.45,20171.55,70,769416
2017-02-25,Japan,adoriva,362699,235754.35,126944.65,14,631803
2017-02-26,Japan,aeox,62049,40331.85,21717.15,46,987765
2017-02-27,Japan,apiera,91438,59434.7,32003.3,98,103380
2017-02-28,Japan,aeox,371462,241450.3,130011.7,100,191431
2017-03-01,Japan,adoriva,305456,198546.4,106909.6,17,747810
2017-03-02,Japan,apiera,313421,203723.65,109697.35,79,616005
2017-03-03,Japan,rezota,456376,296644.4,159731.6,29,402492
2017-03-04,Japan,rezota,200863,130560.95,70302.05,50,511601
2017-03-05,Japan,vucoo,5872,3816.8,2055.2,28,819726
2017-03-06,Japan,adoriva,163768,106449.2,57318.8,54,281429
2017-03-07,Japan,vucoo,404769,263099.85,141669.15,70,468557
2017-03-08,Japan,vucoo,373152,242548.8,130603.2,65,715672
2017-03-09,Japan,adoriva,50282,32683.3,17598.7,12,756982
2017-03-10,Japan,rezota,351236,228303.4,122932.6,72,535353
2017-03-11,Japan,rezota,212109,137870.85,74238.15,94,981952
2017-03-12,Japan,rezota,334795,217616.75,117178.25,57,186664
2017-03-13,Japan,apiera,187416,121820.4,65595.6,61,427506
2017-03-14,Japan,neutratronic,377452,245343.8,132108.2,81,306621
2017-03-15,Japan,adoriva,272838,177344.7,95493.3,11,240860
2017-03-16,Japan,apiera,278168,180809.2,97358.8,7,392068
2017-03-17,Japan,aeox,472384,307049.6,165334.4,24,503938
2017-03-18,Japan,apiera,277610,180446.5,97163.5,8,568596
2017-03-19,Japan,neutratronic,257607,167444.55,90162.45,39,172113
2017-03-20,Japan,apiera,36563,23765.95,12797.05,41,372527
2017-03-21,Japan,apiera,154460,100399,54061,26,481097
2017-03-22,Japan,rezota,4113,2673.45,1439.55,85,228890
2017-03-23,Japan,rezota,384080,249652,134428,37,161337
2017-03-24,Japan,adoriva,363457,236247.05,127209.95,65,909116
2017-03-25,Japan,adoriva,458646,298119.9,160526.1,93,273609
2017-03-26,Japan,neutratronic,54261,35269.65,18991.35,66,303816
2017-03-27,Japan,neutratronic,87505,56878.25,30626.75,100,302749
2017-03-28,Japan,neutratronic,287666,186982.9,100683.1,15,735675
2017-03-29,Japan,apiera,219325,142561.25,76763.75,56,977854
2017-03-30,Japan,vucoo,3020,1963,1057,17,148524
2017-03-31,Japan,apiera,382342,248522.3,133819.7,36,894118
2017-04-01,Japan,neutratronic,50021,32513.65,17507.35,42,140905
2017-04-02,Japan,aeox,61180,39767,21413,17,964318
2017-04-03,Japan,adoriva,223244,145108.6,78135.4,90,776984
2017-04-04,Japan,neutratronic,205067,133293.55,71773.45,37,879640
2017-04-05,Japan,vucoo,152447,99090.55,53356.45,84,844796
2017-04-06,Japan,vucoo,189946,123464.9,66481.1,19,213352
2017-04-07,Japan,aeox,375342,243972.3,131369.7,65,806022
2017-04-08,Japan,neutratronic,121583,79028.95,42554.05,27,776589
2017-04-09,Japan,apiera,186321,121108.65,65212.35,57,489716
2017-04-10,Japan,rezota,95637,62164.05,33472.95,39,990485
2017-04-11,Japan,rezota,407087,264606.55,142480.45,68,499001
2017-04-12,Japan,adoriva,105620,68653,36967,88,963192
2017-04-13,Japan,apiera,134780,87607,47173,88,810240
